0;5;6;4
1;2;6;2
2;7;6;4
3;8;5;2
4;4;5;4
5;7;0;4
6;3;7;4
7;2;5;4
8;2;4;4
9;1;4;2
10;3;3;4
11;1;0;4
12;8;2;2
13;5;0;4
14;0;0;4
15;6;9;2
16;6;1;4
17;0;8;4
18;3;1;4
19;8;0;4
20;0;1;4
21;6;7;4
22;1;9;4
23;7;8;4
24;4;8;4
25;5;2;2
26;7;7;4
27;7;1;4
28;9;9;2
29;0;9;4
30;3;6;4
31;9;7;4
32;4;4;4
33;6;4;4
34;0;3;4
35;5;8;4
36;1;7;4
37;9;2;4
38;4;9;4
39;2;0;4
40;4;1;4
41;8;6;4
42;8;1;2
43;2;7;4
44;9;6;4
45;6;3;4
46;3;0;4
47;3;4;4
48;3;2;4
49;4;0;4
50;5;3;4
51;2;1;4
52;7;5;4
53;8;7;4
54;6;0;4
55;4;3;4
56;0;6;4
57;2;3;4
58;8;4;2
59;9;0;4
60;3;8;4
61;0;2;4
62;6;5;4
63;8;9;2
64;9;1;4
65;0;4;4
66;5;4;4
67;8;3;3
68;1;8;4
69;4;2;4
70;1;3;2
71;0;7;4
72;9;5;4
73;5;9;4
74;6;6;4
75;1;6;3
76;3;9;4
77;9;4;4
78;0;5;4
79;7;9;3
80;2;2;4
81;7;4;4
82;8;8;4
83;2;9;4
84;4;6;4
85;6;2;4
86;7;3;4
87;1;2;3
88;2;8;4
89;9;8;4
90;1;5;4
91;9;3;4
92;1;1;4
93;5;7;4
94;7;2;4
95;6;8;4
96;3;5;4
97;5;1;3
